Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Cu (at.%)
S. Shiva; I. A. Palani; C. P. Paul; S. K. Mishra and B. Singh,Journal of Materials Processing Technology,Investigations on phase transformation and mechanical characteristics of laser additive manufactured TiNiCu shape memory alloy structures,2016.0,50.0,50.0,35.0,Ni35.0Ti50.0Cu15.0 %,50.0,15.0
T. H. Nam; T. Saburi; Y. Kawamura; K. Shimizu; rsquo and ichi,Materials Transactions,Shape Memory Characteristics Associated with the B2-B19 and B19-B19 Transformations in a Ti-40Ni-10Cu (at.%) Alloy,1990.0,49.0,59.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,49.0,51.0,39.8,Ni39.8Ti50.2Cu10.0 %,50.2,10.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,49.0,55.0,37.8,Ni37.8Ti50.2Cu12.0 %,50.2,12.0
T. Fukuda; T. Kakeshita; M. Kitayama and T. Saburi,Journal de Physique IV,Effect of aging on martensitic transformation in a shape memory Ti-40.5 Ni-10Cu alloy,1995.0,49.0,32.0,40.5,Ni40.5Ti49.5Cu10.0 %,49.5,10.0
T. Fukuda; T. Kakeshita; M. Kitayama and T. Saburi,Journal de Physique IV,Effect of aging on martensitic transformation in a shape memory Ti-40.5 Ni-10Cu alloy,1995.0,49.0,-24.0,40.5,Ni40.5Ti49.5Cu10.0 %,49.5,10.0
S. Miyazaki; T. Hashinaga and A. Ishida,Thin Solid Films,Martensitic transformations in sputter-deposited Ti−Ni−Cu shape memory alloy thin films,1996.0,49.0,58.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,49.0,64.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
S. M. Tan; V. H. No and S. Miyazaki,Acta Materialia,Ti-content and annealing temperature dependence of deformation characteristics of TiXNi(92−X)Cu8 shape memory alloys,1998.0,49.0,66.0,42.0,Ni42.0Ti50.0Cu8.0 %,50.0,8.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,49.0,58.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,49.0,61.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
E. Lopez-Cuéllar; G. Guénin and M. Morin,Journal de Physique IV ,Study of fatigue behavior of Ti-Ni-Cu5% wires for different heat treatments,2003.0,49.0,58.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
K. N. Lin and S. K. Wu,Scripta Materialia,Annealing effect on martensitic transformation of severely cold-rolled Ti50Ni40Cu10 shape memory alloy,2007.0,49.0,61.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
K. N. Lin and S. K. Wu,Scripta Materialia,Annealing effect on martensitic transformation of severely cold-rolled Ti50Ni40Cu10 shape memory alloy,2007.0,49.0,53.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
R. Löbel; S. Thienhaus; A. Savan and A. Ludwig,Materials Science and Engineering: A,Combinatorial fabrication and high-throughput characterization of a Ti–Ni–Cu shape memory thin film composition spread,2008.0,49.0,44.0,45.0,Ni45.0Ti51.0Cu4.0 %,51.0,4.0
M. Tomozawa; H. Y. Kim and S. Miyazaki,Acta Materialia,Shape memory behavior and internal structure of Ti–Ni–Cu shape memory alloy thin films and their application for microactuators,2009.0,49.0,69.0,38.3,Ni38.3Ti52.4Cu9.3 %,52.4,9.3
N. G. Jones; S. L. Raghunathan and D. Dye,Metallurgical and Materials Transactions A,In-Situ Synchrotron Characterization of Transformation Sequences in TiNi-Based Shape Memory Alloys during Thermal Cycling,2010.0,49.0,63.0,41.0,Ni41.0Ti50.0Cu9.0 %,50.0,9.0
A. Nespoli and S. Besseghini,Journal of Thermal Analysis and Calorimetry,A complete thermo-mechanical study of a NiTiCu shape memory alloy wire,2010.0,49.0,61.0,43.49,Ni43.49Ti51.2Cu5.31 %,51.2,5.31
T. Goryczka,Shape Memory Alloys-Processing; Characterization and Applications,Ni25Ti50Cu25 shape memory alloy produced by nonconventional techniques,2013.0,49.0,48.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
D. E. Soto-Parra; H. Flores-Zúñiga; E. L. Cuéllar; R. A. Ochoa-Gamboa and D. Ríos-Jara,Materials ReseVARh,Recrystallization of a Ti-45Ni-5Cu cold-worked shape memory alloy characterized by thermoelectric power and electrical properties,2014.0,49.0,64.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
D. E. Soto-Parra; H. Flores-Zúñiga; E. L. Cuéllar; R. A. Ochoa-Gamboa and D. Ríos-Jara,Materials ReseVARh,Recrystallization of a Ti-45Ni-5Cu cold-worked shape memory alloy characterized by thermoelectric power and electrical properties,2014.0,49.0,65.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
T. H. Nam; T. Saburi and K. i. Shimizu,Materials Transactions,Cu-Content Dependence of Shape Memory Characteristics in Ti-Ni-Cu Alloys,1990.0,48.0,39.0,37.5,Ni37.5Ti50.0Cu12.5 %,50.0,12.5
K. Tsuji and K. Nomura,Scripta Metallurgica et Materialia,The influence of cold working on transformation properties of NiTiCu alloys,1990.0,48.0,57.0,40.5,Ni40.5Ti50.5Cu9.0 %,50.5,9.0
K. Tsuji and K. Nomura,Scripta Metallurgica et Materialia,The influence of cold working on transformation properties of NiTiCu alloys,1990.0,48.0,52.0,41.3,Ni41.3Ti49.5Cu9.2 %,49.5,9.2
K. Tsuji and K. Nomura,Journal of Materials Science,Effects of Ni-Ti-Cu alloy composition and heat treatment temperature after cold working on phase transformation characteristics,1992.0,48.0,53.0,41.3,Ni41.3Ti49.5Cu9.2 %,49.5,9.2
P. Krulevitch; P. B. Ramsey; D. M. Makowiecki; A. P. Lee; M. A. Northrup and G. C. Johnson,Thin Solid Films,Mixed-sputter deposition of Ni-Ti-Cu shape memory films,1996.0,48.0,32.0,45.0,Ni45.0Ti48.0Cu7.0 %,48.0,7.0
N. Matveeva; V. Pushin; A. Shelyakov; Y. A. Bykovskii; S. Volkova and V. Kraposhin,Physics of Metals and Metallography,Effect of the conditions of crystallization of amorphous TiNi-TiCu alloys on their structure and shape memory,1997.0,48.0,40.0,16.0,Ni16.0Ti50.0Cu34.0 %,50.0,34.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,48.0,57.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
W. Tang; R. Sandstrom; Z. G. Wei and S. Miyazaki,Metallurgical and Materials Transactions A,Experimental investigation and thermodynamic calculation of the Ti-Ni-Cu shape memory alloys,2000.0,48.0,58.0,47.0,Ni47.0Ti50.0Cu3.0 %,50.0,3.0
W. Tang; R. Sandstrom; Z. G. Wei and S. Miyazaki,Metallurgical and Materials Transactions A,Experimental investigation and thermodynamic calculation of the Ti-Ni-Cu shape memory alloys,2000.0,48.0,52.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
C. J. d. Araújo; C. H. Gonzalez; M. Morin and G. Guénin,Materials ReseVARh,Influence of the mechanical loading history on the stress assisted two way memory effect in a Ti-Ni-Cu alloy,2001.0,48.0,70.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
G. P. Cheng and Z. L. Xie,Journal of Alloys and Compounds,Some results on shape memory properties of Ti50Ni25Cu25 Melt Spun ribbons,2005.0,48.0,65.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
T.-h. Nam; J.-h. Lee; K.-w. Kim; H.-j. Ahn and Y.-w. Kim,Journal of Materials Science,The B2-B19-B19’ transformation in a rapidly solidified Ti-45Ni-5Cu(at%) alloy,2005.0,48.0,47.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,48.0,53.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,48.0,44.0,48.3,Ni48.3Ti28.4Cu23.3 %,28.4,23.3
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,48.0,47.0,23.9,Ni23.9Ti48.3Cu27.8 %,48.3,27.8
S. P. Belyaev; V. V. Istomin-Kastrovskiy; V. V. Koledov; D. S. Kuchin; N. N. Resnina; V. G. Shavrov; A. V. Shelyakov and S. E. Ivanov,Physics Procedia,The structure and functional properties of alloy rapidly quenched ribbons with different fractions of crystalline phase,2010.0,48.0,54.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
D. Konig; M. Ehmann; S. Thienhaus and A. Ludwig,Journal of Microelectromechanical Systems,Micro-to nanostructured devices for the characterization of scaling effects in shape-memory thin films,2010.0,48.0,16.0,32.0,Ni32.0Ti52.0Cu16.0 %,52.0,16.0
T. Goryczka,Shape Memory Alloys-Processing; Characterization and Applications,Ni25Ti50Cu25 shape memory alloy produced by nonconventional techniques,2013.0,48.0,42.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
B. Ramachandran; R. Tang; P. Chang; Y. Kuo; C. Chien and S. Wu,Journal of Applied Physics,Cu-substitution effect on thermoelectric properties of the TiNi-based shape memory alloys,2013.0,48.0,41.0,35.0,Ni35.0Ti50.0Cu15.0 %,50.0,15.0
Y. Furuya; M. Matsumoto and T. Matsumoto,International Conference on Martensitic Transformations,Mechanical properties and microstructure of rapidly solidified NiTiCu alloy,1992.0,47.0,52.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,47.0,51.0,42.8,Ni42.8Ti50.2Cu7.0 %,50.2,7.0
Z. Xie; J. Van Humbeeck; Y. Liu and L. Delaey,Scripta Materialia,TEM study of Ti50Ni25Cu25 melt spun ribbons,1997.0,47.0,44.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,47.0,55.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
C. J. d. Araújo; C. H. Gonzalez; M. Morin and G. Guénin,Materials ReseVARh,Influence of the mechanical loading history on the stress assisted two way memory effect in a Ti-Ni-Cu alloy,2001.0,47.0,71.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
L. Litynska; P. Vermaut; J. Morgiel; J. Dutkiewicz; P. Ochin and R. Portier,Journal de Physique IV,Martensitic transformation and microstructure of rapidly solidified Ti50-xNi25Cu25Zrx shap memory alloys,2001.0,47.0,40.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
H. Rösner; P. Schloßmacher; A. Shelyakov and A. Glezer,Acta Materialia,The influence of coherent TiCu plate-like precipitates on the thermoelastic martensitic transformation in Melt Spun Ti 50 Ni 25 Cu 25 shape memory alloys,2001.0,47.0,43.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
O. W. Bertacchini; D. C. Lagoudas and E. Patoor,Smart Structures and Materials 2003,Fatigue life characterization of shape memory alloys undergoing thermomechanical cyclic loading,2003.0,47.0,54.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
V. Saravanan; A. Khantachawana and S. Miyazaki,Materials Transactions,Texture analysis and properties of rapidly solidified Ti52Ni38Cu10 shape memory alloy,2004.0,47.0,58.0,38.0,Ni38.0Ti52.0Cu10.0 %,52.0,10.0
O. W. Bertacchini; D. C. Lagoudas and E. Patoor,International Journal of Fatigue,Thermomechanical transformation fatigue of tinicu sma actuators under a corrosive environment–part i: Experimental results,2009.0,47.0,54.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
A. Nespoli and S. Besseghini,Journal of Thermal Analysis and Calorimetry,A complete thermo-mechanical study of a NiTiCu shape memory alloy wire,2010.0,47.0,63.0,43.49,Ni43.49Ti51.2Cu5.31 %,51.2,5.31
A. Nespoli and S. Besseghini,Journal of Thermal Analysis and Calorimetry,A complete thermo-mechanical study of a NiTiCu shape memory alloy wire,2010.0,47.0,57.0,43.49,Ni43.49Ti51.2Cu5.31 %,51.2,5.31
B. Ramachandran; R. Tang; P. Chang; Y. Kuo; C. Chien and S. Wu,Journal of Applied Physics,Cu-substitution effect on thermoelectric properties of the TiNi-based shape memory alloys,2013.0,47.0,52.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
S. Belyaev; N. Resnina; A. Irzhak; V. Istomin-Kastrovsky; V. Koledov; D. Kuchin; V. Shavrov; P. Ari-Gur; A. Shelyakov and N. Y. Tabachkova,Journal of Alloys and Compounds,Amorphous–crystalline Ti 2 NiCu alloy rapidly quenched ribbons annealed by DSC and electric pulses,2014.0,47.0,35.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Nespoli; E. Villa; F. Passaretti; F. Albertini; R. Cabassi; M. Pasquale; C. P. Sasso and M. Coïsson,Journal of Materials Engineering and Performance,Non-Conventional Techniques for the Study of Phase Transitions in NiTi-Based Alloys,2014.0,47.0,38.0,44.0,Ni44.0Ti50.0Cu6.0 %,50.0,6.0
K. Tsuji and K. Nomura,Scripta Metallurgica et Materialia,The influence of cold working on transformation properties of NiTiCu alloys,1990.0,46.0,53.0,41.3,Ni41.3Ti49.5Cu9.2 %,49.5,9.2
T. H. Nam; T. Saburi and K. i. Shimizu,Materials Transactions,Effect of thermo-mechanical treatment on shape memory characteristics in a Ti-40Ni-10Cu (at%) alloy,1991.0,46.0,58.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
T. H. Nam; T. Saburi and K. i. Shimizu,Materials Transactions,Effect of thermo-mechanical treatment on shape memory characteristics in a Ti-40Ni-10Cu (at%) alloy,1991.0,46.0,39.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,46.0,55.0,37.8,Ni37.8Ti50.2Cu12.0 %,50.2,12.0
T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,46.0,48.0,37.0,Ni37.0Ti53.5Cu9.5 %,53.5,9.5
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,46.0,46.0,41.4,Ni41.4Ti50.6Cu8.0 %,50.6,8.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,46.0,55.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,46.0,55.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
S. Bhaumik; C. Saikrishna; K. Ramaiah and M. Venkataswamy,Key Engineering Materials,Understanding the fatigue behaviour of NiTiCu shape memory alloy wire thermal actuators,2008.0,46.0,58.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
R. Löbel; S. Thienhaus; A. Savan and A. Ludwig,Materials Science and Engineering: A,Combinatorial fabrication and high-throughput characterization of a Ti–Ni–Cu shape memory thin film composition spread,2008.0,46.0,39.0,39.0,Ni39.0Ti50.5Cu10.5 %,50.5,10.5
M. Tomozawa; H. Y. Kim and S. Miyazaki,Acta Materialia,Shape memory behavior and internal structure of Ti–Ni–Cu shape memory alloy thin films and their application for microactuators,2009.0,46.0,59.0,38.3,Ni38.3Ti52.4Cu9.3 %,52.4,9.3
R. Zarnetta; D. König; C. Zamponi; A. Aghajani; J. Frenzel; G. Eggeler and A. Ludwig,Acta Materialia,R-phase formation in Ti39Ni45Cu16 shape memory thin films and bulk alloys discovered by combinatorial methods,2009.0,46.0,35.0,45.0,Ni45.0Ti38.0Cu17.0 %,38.0,17.0
A. Nespoli and S. Besseghini,Journal of Thermal Analysis and Calorimetry,A complete thermo-mechanical study of a NiTiCu shape memory alloy wire,2010.0,46.0,53.0,43.49,Ni43.49Ti51.2Cu5.31 %,51.2,5.31
L. Chang; C. Hu-Simpsono; D. S. Grummon; W. Pratt and R. loloee,Materials ReseVARh Society,Structure and Phase Transformations in Thermoelastic Ni(1−x)TiCux) Thin Films Prepared by D.C. Magnetron Sputtering,1990.0,45.0,39.0,44.99,Ni44.99Ti50.05Cu4.96 %,50.05,4.96
S. Miyazaki; T. Hashinaga and A. Ishida,Thin Solid Films,Martensitic transformations in sputter-deposited Ti−Ni−Cu shape memory alloy thin films,1996.0,45.0,47.0,37.0,Ni37.0Ti53.5Cu9.5 %,53.5,9.5
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,45.0,65.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
N. Matveeva; V. Pushin; A. Shelyakov; Y. A. Bykovskii; S. Volkova and V. Kraposhin,Physics of Metals and Metallography,Effect of the conditions of crystallization of amorphous TiNi-TiCu alloys on their structure and shape memory,1997.0,45.0,56.0,16.0,Ni16.0Ti50.0Cu34.0 %,50.0,34.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,45.0,47.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
S. M. Tan; V. H. No and S. Miyazaki,Acta Materialia,Ti-content and annealing temperature dependence of deformation characteristics of TiXNi(92−X)Cu8 shape memory alloys,1998.0,45.0,61.0,42.0,Ni42.0Ti50.0Cu8.0 %,50.0,8.0
S. M. Tan; V. H. No and S. Miyazaki,Acta Materialia,Ti-content and annealing temperature dependence of deformation characteristics of TiXNi(92−X)Cu8 shape memory alloys,1998.0,45.0,63.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
T. Matsunaga; S. Kajiwara; K. Ogawa; T. Kikuchi and S. Miyazaki,Materials Science and Engineering: A,High strength Ti–Ni-based shape memory thin films,1999.0,45.0,45.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,45.0,54.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
W. Tang; R. Sandstrom; Z. G. Wei and S. Miyazaki,Metallurgical and Materials Transactions A,Experimental investigation and thermodynamic calculation of the Ti-Ni-Cu shape memory alloys,2000.0,45.0,51.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
W. Tang; R. Sandstrom; Z. G. Wei and S. Miyazaki,Metallurgical and Materials Transactions A,Experimental investigation and thermodynamic calculation of the Ti-Ni-Cu shape memory alloys,2000.0,45.0,51.0,43.0,Ni43.0Ti50.0Cu7.0 %,50.0,7.0
H. Rösner; P. Schloßmacher; A. Shelyakov and A. Glezer,Acta Materialia,The influence of coherent TiCu plate-like precipitates on the thermoelastic martensitic transformation in Melt Spun Ti 50 Ni 25 Cu 25 shape memory alloys,2001.0,45.0,14.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Biscarini; B. Coluzzi; G. Mazzolai; A. Tuissi and F. Mazzolai,Journal of Alloys and Compounds,Extraordinary high damping of hydrogen-doped NiTi and NiTiCu shape memory alloys,2003.0,45.0,30.0,30.0,Ni30.0Ti50.0Cu20.0 %,50.0,20.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,45.0,52.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
M. Tomozawa; H. Y. Kim and S. Miyazaki,Acta Materialia,Shape memory behavior and internal structure of Ti–Ni–Cu shape memory alloy thin films and their application for microactuators,2009.0,45.0,57.0,38.3,Ni38.3Ti52.4Cu9.3 %,52.4,9.3
A. Nespoli; E. Villa and S. Besseghini,Journal of Alloys and Compounds,Characterization of the martensitic transformation in Ni50−xTi50Cux alloys through pure thermal measurements,2011.0,45.0,51.0,44.0,Ni44.0Ti50.0Cu6.0 %,50.0,6.0
R. Zarnetta; P. J. S. Buenconsejo; A. Savan; S. Thienhaus and A. Ludwig,Intermetallics,High-throughput study of martensitic transformations in the complete Ti–Ni–Cu system,2012.0,45.0,36.0,46.8,Ni46.8Ti45.0Cu8.2 %,45.0,8.2
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,45.0,48.0,45.3,Ni45.3Ti49.7Cu5.0 %,49.7,5.0
T. H. Nam; T. Saburi and K. i. Shimizu,Materials Transactions,Cu-Content Dependence of Shape Memory Characteristics in Ti-Ni-Cu Alloys,1990.0,44.0,54.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
P. Krulevitch; P. B. Ramsey; D. M. Makowiecki; A. P. Lee; M. A. Northrup and G. C. Johnson,Thin Solid Films,Mixed-sputter deposition of Ni-Ti-Cu shape memory films,1996.0,44.0,34.0,46.0,Ni46.0Ti47.0Cu7.0 %,47.0,7.0
P. Krulevitch; P. B. Ramsey; D. M. Makowiecki; A. P. Lee; M. A. Northrup and G. C. Johnson,Thin Solid Films,Mixed-sputter deposition of Ni-Ti-Cu shape memory films,1996.0,44.0,35.0,43.0,Ni43.0Ti50.0Cu7.0 %,50.0,7.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,44.0,65.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,44.0,64.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
E. Lopez-Cuéllar; G. Guénin and M. Morin,Journal de Physique IV ,Study of fatigue behavior of Ti-Ni-Cu5% wires for different heat treatments,2003.0,44.0,47.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
K. Yamazaki; S. Kajiwara; T. Kikuchi; K. Ogawa and S. Miyazaki,Journal de Physique IV ,Super-high strength shape memory thin films,2003.0,44.0,46.0,40.0,Ni40.0Ti54.3Cu5.7 %,54.3,5.7
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,44.0,52.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
K. N. Lin and S. K. Wu,Scripta Materialia,Annealing effect on martensitic transformation of severely cold-rolled Ti50Ni40Cu10 shape memory alloy,2007.0,44.0,56.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,44.0,50.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
R. Zarnetta; D. König; C. Zamponi; A. Aghajani; J. Frenzel; G. Eggeler and A. Ludwig,Acta Materialia,R-phase formation in Ti39Ni45Cu16 shape memory thin films and bulk alloys discovered by combinatorial methods,2009.0,44.0,41.0,45.0,Ni45.0Ti39.0Cu16.0 %,39.0,16.0
S. P. Belyaev; V. V. Istomin-Kastrovskiy; V. V. Koledov; D. S. Kuchin; N. N. Resnina; V. G. Shavrov; A. V. Shelyakov and S. E. Ivanov,Physics Procedia,The structure and functional properties of alloy rapidly quenched ribbons with different fractions of crystalline phase,2010.0,44.0,51.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
K. Hori; T. Namazu and S. Inoue,Thin Solid Films,Effect of Cu content on the shape memory behavior of Ti–Ni–Cu alloy thin films prepared by triple-source dc magnetron sputtering,2010.0,44.0,48.0,41.8,Ni41.8Ti52.1Cu6.1 %,52.1,6.1
K.-N. Lin and S.-K. Wu,Intermetallics,Multi-stage transformation in annealed Ni-rich Ti49Ni41Cu10 shape memory alloy,2010.0,44.0,56.0,41.0,Ni41.0Ti49.0Cu10.0 %,49.0,10.0
A. Nespoli and S. Besseghini,Journal of Thermal Analysis and Calorimetry,A complete thermo-mechanical study of a NiTiCu shape memory alloy wire,2010.0,44.0,61.0,43.49,Ni43.49Ti51.2Cu5.31 %,51.2,5.31
A. Fabregat-Sanjuan; F. Ferrando and S. De la Flor,Materials Today,Influence of Heat Treatment on Internal Friction Spectrum in NiTiCu Shape Memory Alloy,2015.0,44.0,58.0,44.6,Ni44.6Ti50.4Cu5.0 %,50.4,5.0
T. H. Nam; T. Saburi and K. i. Shimizu,Materials Transactions,Cu-Content Dependence of Shape Memory Characteristics in Ti-Ni-Cu Alloys,1990.0,43.0,53.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
T. H. Nam; T. Saburi and K. i. Shimizu,Materials Transactions,Effect of thermo-mechanical treatment on shape memory characteristics in a Ti-40Ni-10Cu (at%) alloy,1991.0,43.0,54.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
T. H. Nam; T. Saburi and K. i. Shimizu,Materials Transactions,Effect of thermo-mechanical treatment on shape memory characteristics in a Ti-40Ni-10Cu (at%) alloy,1991.0,43.0,56.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
K. Tsuji and K. Nomura,Journal of Materials Science,Effects of Ni-Ti-Cu alloy composition and heat treatment temperature after cold working on phase transformation characteristics,1992.0,43.0,49.0,44.2,Ni44.2Ti49.7Cu6.1 %,49.7,6.1
K. Tsuji and K. Nomura,Journal of Materials Science,Effects of Ni-Ti-Cu alloy composition and heat treatment temperature after cold working on phase transformation characteristics,1992.0,43.0,50.0,42.5,Ni42.5Ti49.9Cu7.6 %,49.9,7.6
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,43.0,63.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,43.0,62.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
