Authors,Source,Title,Year,composition,Ag (at.%),Al (at.%),Au (at.%),Cd (at.%),Co (at.%),Cu (at.%),Fe (at.%),Hf (at.%),Mn (at.%),Nb (at.%),Ni (at.%),Pd (at.%),Pt (at.%),Ru (at.%),Si (at.%),Ta (at.%),Ti (at.%),Zn (at.%),Zr (at.%),Austenite Finish Temperature - AF - (°C),Austenite Start Temperature - AS - (°C),Martensite Finish Temperature - MF - (°C),Martensite Start Temperature - MS - (°C),Cooling Rate (°C/min),Heating Rate (°C/min),Calculated Density (g/cm^3),Thermal transformation span (TSPAN) - (AF-MF) - (°C)
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ni30.0Ti50.0Pd20.0 %,,,,,,,,,,,30.0,20.0,,,,,50.0,,,107.0,90.0,65.0,95.0,5.0,5.0,7.3305,42.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ni20.0Ti50.0Pd30.0 %,,,,,,,,,,,20.0,30.0,,,,,50.0,,,241.0,230.0,208.0,241.0,5.0,5.0,7.642,33.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ni10.0Ti50.0Pd40.0 %,,,,,,,,,,,10.0,40.0,,,,,50.0,,,427.0,419.0,387.0,403.0,5.0,5.0,7.9535,40.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ni5.0Ti50.0Pd45.0 %,,,,,,,,,,,5.0,45.0,,,,,50.0,,,509.0,503.0,467.0,486.0,5.0,5.0,8.10925,42.0
J.A. Monroe; I. Karaman; D.C. Lagoudas; G.S. Bigelow; R.D. Noebe; S.A. Padula II,Scripta Metallurgica et Materialia,Determining recoverable and irrecoverable contributions to accumulated strain in a NiTiPd high-temperature shape memory alloy during thermomechanical cycling,2011.0,Ni19.5Ti50.5Pd30.0 %,,,,,,,,,,,19.5,30.0,,,,,50.5,,,298.0,284.0,254.0,269.0,20.0,20.0,7.619995,44.0
P. Li; H. E. Karaca and Y.-T. Cheng,Journal of Alloys and Compounds,Spherical indentation of NiTi-based shape memory alloys,2015.0,Ni50.1Ti49.9Pd0.0 %,,,,,,,,,,,50.1,0.0,,,,,49.9,,,122.0,85.0,45.0,78.0,,,6.711901,77.0
P. Li; H. E. Karaca and Y.-T. Cheng,Journal of Alloys and Compounds,Spherical indentation of NiTi-based shape memory alloys,2015.0,Ni50.8Ti49.2Pd0.0 %,,,,,,,,,,,50.8,0.0,,,,,49.2,,,10.0,-4.0,-34.0,-15.0,,,6.742708,44.0
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,Ni21.8Ti51.2Pd27.0 %,,,,,,,,,,,21.8,27.0,,,,,51.2,,,206.0,193.0,169.0,188.0,10.0,10.0,7.495738,37.0
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,Ni22.0Ti49.5Pd28.5 %,,,,,,,,,,,22.0,28.5,,,,,49.5,,,231.0,226.0,205.0,209.0,10.0,10.0,7.61728,26.0
T. Sawaguchi; M. Sato; A. Ishida,Journal de Physique,Ti-Pd-Ni high temperature shape memory thin films formed with carousel type magnetron sputtering apparatus,2001.0,Ni22.3Ti47.9Pd29.8 %,,,,,,,,,,,22.3,29.8,,,,,47.9,,,103.0,88.0,43.0,70.0,10.0,10.0,7.728191,60.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,Ni21.8Ti51.2Pd27.0 %,,,,,,,,,,,21.8,27.0,,,,,51.2,,,196.0,151.0,124.0,178.0,10.0,10.0,7.495738,72.0
T. Sawaguchi; M. Sato; A. Ishida,Materials Science and Engineering: A,Microstructure and shape memory behavior of Ti51.2(Pd27.0Ni21.8) and Ti49.5(Pd28.5Ni22.0) thin films,2002.0,Ni22.0Ti49.5Pd28.5 %,,,,,,,,,,,22.0,28.5,,,,,49.5,,,239.0,230.0,208.0,213.0,10.0,10.0,7.61728,31.0
M. Kohl; D. Dittmann; E. Quandt; B. Winzek,Sensors and Actuators,Thin film shape memory microvalves with adjustable operation temperature,2000.0,Ni20.0Ti52.0Pd28.0 %,,,,,,,,,,,20.0,28.0,,,,,52.0,,,132.0,79.0,58.0,81.0,,,7.49168,74.0
S. Miyazaki; A. Ishida  ,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,Ni26.4Ti51.8Pd21.8 %,,,,,,,,,,,26.4,21.8,,,,,51.8,,,125.0,110.0,84.0,104.0,,,7.307352,41.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,Ni33.7Ti50.3Pd16.0 %,,,,,,,,,,,33.7,16.0,,,,,50.3,,,103.0,83.0,70.0,89.0,10.0,10.0,7.192697,33.0
B. Kockar,Doctoral Thesis,Shape memory behaviors of ultrafine grained nickel-titanium and titanium-nickel-palladium shape memory alloys,2007.0,Ni30.0Ti50.0Pd20.0 %,,,,,,,,,,,30.0,20.0,,,,,50.0,,,142.0,129.0,118.0,135.0,10.0,10.0,7.3305,24.0
M. I. Khan; H. Y. Kim; Y. Namigata; T.-h. Nam and S. Miyazaki,Acta Materialia,Combined effects of work hardening and precipitation strengthening on the cyclic stability of TiNiPdCu-based high-temperature shape memory alloys,2013.0,Ni25.0Ti50.0Pd25.0 %,,,,,,,,,,,25.0,25.0,,,,,50.0,,,178.0,163.0,141.0,159.0,10.0,10.0,7.48625,37.0
B. Winzek and E. Quandt,Zeitschrift für Metallkunde,Shape-memory Ti-Ni-X-films (X = Cu;Pd) under constraint,1999.0,Ni39.2Ti51.2Pd9.6 %,,,,,,,,,,,39.2,9.6,,,,,51.2,,,67.0,37.0,33.0,63.0,,,6.953728,34.0
Y. F. Zheng; B. B. Zhang; B. L. Wang; Y. B. Wang; L. Li; Q. B. Yang and L. S. Cui,Acta Biomaterialia,Introduction of antibacterial function into biomedical TiNi shape memory alloy by the addition of element Ag,2011.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,96.0,78.0,45.0,62.0,,,6.7075,51.0
M. Bitzer; M. Bram; H. Buchkremer and D. Stöver,Journal of materials engineering and performance,Phase transformation behavior of hot isostatically pressed NiTi-X (X= Ag; Nb; W) alloys for functional engineering applications,2012.0,Ni50.8Ti49.2 %,,,,,,,,,,,50.8,,,,,,49.2,,,28.0,11.0,-26.0,-8.0,,,6.742708,54.0
O. Mercier; E. Torok and B. Tirbonod,International Conference on Martensitic Transformations,Internal friction peaks associated with the martensitic phase transformation of NiTi and NiTiCu alloys,1979.0,Ni49.9Ti50.1 %,,,,,,,,,,,49.9,,,,,,50.1,,,62.0,53.0,18.0,34.0,,,6.703099,44.0
Y. Furuya; M. Matsumoto; H. S. Kimura and T. Masumoto,Materials Science and Engineering: A,Thermoelastic phase transformation of Melt Spun Ti50Ni50−xCux (x = 0–20 at.%) ribbons,1991.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,82.0,70.0,32.0,40.0,,,6.7075,50.0
T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,89.0,76.0,55.0,62.0,,,6.650287,34.0
B. Strnadel; S. Ohashi; H. Ohtsuka; T. Ishihara and S. Miyazaki,Materials Science and Engineering: A,Cyclic stress-strain characteristics of TiNi and TiNiCu shape memory alloys,1995.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,78.0,48.0,-28.0,38.0,,,6.7075,106.0
B. Strnadel; S. Ohashi; H. Ohtsuka; T. Ishihara and S. Miyazaki,Materials Science and Engineering: A,Cyclic stress-strain characteristics of TiNi and TiNiCu shape memory alloys,1995.0,Ni50.5Ti49.5 %,,,,,,,,,,,50.5,,,,,,49.5,,,53.0,9.0,-78.0,-19.0,,,6.729505,131.0
B. Strnadel; S. Ohashi; H. Ohtsuka; T. Ishihara and S. Miyazaki,Materials Science and Engineering: A,Cyclic stress-strain characteristics of TiNi and TiNiCu shape memory alloys,1995.0,Ni50.9Ti49.1 %,,,,,,,,,,,50.9,,,,,,49.1,,,45.0,2.0,-116.0,-31.0,,,6.747109,161.0
S. Miyazaki; T. Hashinaga and A. Ishida,Thin Solid Films,Martensitic transformations in sputter-deposited Ti−Ni−Cu shape memory alloy thin films,1996.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,95.0,81.0,54.0,62.0,,,6.650287,41.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,Ni48.5Ti51.5 %,,,,,,,,,,,48.5,,,,,,51.5,,,107.0,81.0,37.0,59.0,,,6.641485,70.0
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni55.8Ti44.2 %,,,,,,,,,,,55.8,,,,,,44.2,,,32.0,20.0,16.0,27.0,,,6.962758,16.0
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni62.4Ti37.6 %,,,,,,,,,,,62.4,,,,,,37.6,,,28.0,5.0,-1.0,24.0,,,7.253224,29.0
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni63.0Ti37.0 %,,,,,,,,,,,63.0,,,,,,37.0,,,16.0,7.0,-13.0,12.0,,,7.27963,29.0
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni64.6Ti35.4 %,,,,,,,,,,,64.6,,,,,,35.4,,,15.0,-2.0,-9.0,11.0,,,7.350046,24.0
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni69.3Ti30.7 %,,,,,,,,,,,69.3,,,,,,30.7,,,28.0,5.0,1.0,23.0,,,7.556893,27.0
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni69.4Ti30.6 %,,,,,,,,,,,69.4,,,,,,30.6,,,27.0,20.0,14.0,22.0,,,7.561294,13.0
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni69.6Ti30.4 %,,,,,,,,,,,69.6,,,,,,30.4,,,26.0,-1.0,-5.0,21.0,,,7.570096,31.0
S. Miyazaki and A. Ishida,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,118.0,97.0,51.0,75.0,,,6.650287,67.0
B. Winzek and E. Quandt,Zeitschrift für Metallkunde,Shape-memory Ti-Ni-X-films (X = Cu;Pd) under constraint,1999.0,Ni47.8Ti52.2 %,,,,,,,,,,,47.8,,,,,,52.2,,,75.0,59.0,-3.0,56.0,,,6.610678,78.0
M. Es-Souni; M. Es-Souni and H. F. Brandies,Biomaterials,On the transformation behaviour; mechanical properties and biocompatibility of two NiTi-based shape memory alloys,2001.0,Ni53.0Ti47.0 %,,,,,,,,,,,53.0,,,,,,47.0,,,33.0,22.0,-59.0,-23.0,,,6.83953,92.0
J. Uchil; K. K. Mahesh and K. Ganesh Kumara,Journal of Materials Science,Dilatometric study of martensitic transformation in NiTiCu and NiTi shape memory alloys,2001.0,Ni50.03Ti49.97 %,,,,,,,,,,,50.03,,,,,,49.97,,,112.0,90.0,59.0,71.0,,,6.7088203,53.0
M. Iijima; H. Ohno; I. Kawashima; K. Endo and I. Mizoguchi,Dental Materials,Mechanical behavior at different temperatures and stresses for superelastic nickel–titanium orthodontic wires having different transformation temperatures,2002.0,Ni50.7Ti49.3 %,,,,,,,,,,,50.7,,,,,,49.3,,,23.0,-3.0,0.0,18.0,,,6.738307,23.0
Z. Feng; B. Gao; J. Wang; D. Qian and Y. Liu,Materials Science Forum,Influence of Zr Additions on Shape-Memory Effect and Mechanical Properties of Ni-Rich NiTi Alloys,2002.0,Ni50.6Ti49.4 %,,,,,,,,,,,50.6,,,,,,49.4,,,57.0,46.0,4.0,18.0,,,6.733906,53.0
H. Du and Y. Fu,Surface and Coatings Technology,Deposition and characterization of Ti1−x(Ni;Cu)x shape memory alloy thin films,2004.0,Ni49.7Ti50.3 %,,,,,,,,,,,49.7,,,,,,50.3,,,82.0,73.0,60.0,63.0,,,6.694297,22.0
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,Ni50.5Ti49.5 %,,,,,,,,,,,50.5,,,,,,49.5,,,48.0,37.0,44.0,26.0,,,6.729505,4.0
R. Santamarta; E. Cesari; J. Pons and T. Goryczka,Metallurgical and Materials Transactions A,Shape memory properties of Ni-Ti based Melt Spun ribbons,2004.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,34.0,23.0,-7.0,8.0,,,6.7075,41.0
A. Ishida; M. Sato and K. Ogawa,Philosophical Magazine Letters,Microstructure and shape-memory behavior of annealed Ti51.5Ni33.1Cu15.4 thin films,2006.0,Ni48.5Ti51.5 %,,,,,,,,,,,48.5,,,,,,51.5,,,136.0,102.0,65.0,92.0,,,6.641485,71.0
Y.-W. Kim; S.-H. Lee and T.-H. Nam,Physica Scripta,Microstructure modifications of Ti–Ni–Cu shape memory alloy strips fabricated by VAR melt overflow process,2007.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,62.0,37.0,5.0,33.0,,,6.7075,57.0
T.-h. Nam; J.-h. Lee; D.-w. Jung; C.-a. Yu; Y. Liu and Y.-w. Kim,Materials Science and Engineering: A,Transformation behaviour of Ti–Ni and Ti–Ni–Cu alloy ribbons with nano Ti2Ni particles,2007.0,Ni49.0Ti51.0 %,,,,,,,,,,,49.0,,,,,,51.0,,,62.0,14.0,3.0,39.0,,,6.66349,59.0
T.-h. Nam; J.-h. Lee; D.-w. Jung; C.-a. Yu; Y. Liu and Y.-w. Kim,Materials Science and Engineering: A,Transformation behaviour of Ti–Ni and Ti–Ni–Cu alloy ribbons with nano Ti2Ni particles,2007.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,67.0,45.0,12.0,40.0,,,6.7075,55.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka; A. Oppenkowski; C. Somsen; K. Neuking; W. Theisen and G. Eggeler,Materialwissenschaft und Werkstofftechnik,Processing and property assessment of NiTi and NiTiCu shape memory actuator springs,2008.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,106.0,79.0,45.0,67.0,,,6.7075,61.0
A. J. Muir Wood; S. Sanjabi; Y. Q. Fu; Z. H. Barber and T. W. Clyne,Surface and Coatings Technology,Nanoindentation of binary and ternary Ni–Ti-based shape memory alloy thin films,2008.0,Ni47.2Ti52.8 %,,,,,,,,,,,47.2,,,,,,52.8,,,70.0,60.0,35.0,40.0,,,6.584272,35.0
A. J. Muir Wood; S. Sanjabi; Y. Q. Fu; Z. H. Barber and T. W. Clyne,Surface and Coatings Technology,Nanoindentation of binary and ternary Ni–Ti-based shape memory alloy thin films,2008.0,Ni49.4Ti50.6 %,,,,,,,,,,,49.4,,,,,,50.6,,,85.0,75.0,20.0,40.0,,,6.681094,65.0
A. J. Muir Wood; S. Sanjabi; Y. Q. Fu; Z. H. Barber and T. W. Clyne,Surface and Coatings Technology,Nanoindentation of binary and ternary Ni–Ti-based shape memory alloy thin films,2008.0,Ni51.2Ti48.8 %,,,,,,,,,,,51.2,,,,,,48.8,,,20.0,10.0,-50.0,-40.0,,,6.760312,70.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka and G. Eggeler,Metallurgical and Materials Transactions A,Elementary Transformation and Deformation Processes and the Cyclic Stability of NiTi and NiTiCu Shape Memory Spring Actuators,2009.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,101.0,79.0,39.0,59.0,,,6.7075,62.0
N. Okada; Y. Fujii; Y. Ishikawa; M. Onoda; H. Y. Kim and S. Miyazaki,Journal of the Japan Institute of Metals,Effect of Zr Content on Shape Memory Characteristics and Workability of Ti-Ni-Zr Alloy,2008.0,Ni49.5Ti50.5 %,,,,,,,,,,,49.5,,,,,,50.5,,,86.0,112.0,61.0,81.0,,,6.685495,25.0
C. J. Araújo; N. J. Silva; M. M. Silva and C. H. Gonzalez,Materials & Design,A comparative study of Ni–Ti and Ni–Ti–Cu shape memory alloy processed by plasma melting and injection molding,2011.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,70.0,55.0,5.0,25.0,,,6.7075,65.0
B. Ingale; W. Wei; P. Chang; Y. Kuo and S. Wu,Journal of Applied Physics,Anomalous transport and thermal properties of NiTi and with Cu and Fe-doped shape memory alloys near the martensitic transition,2011.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,71.0,55.0,-33.0,43.0,,,6.7075,104.0
S. Inoue; N. Sawada and T. Namazu,Vacuum,Effect of Zr content on mechanical properties of Ti–Ni–Zr shape memory alloy films prepared by dc magnetron sputtering,2009.0,Ni49.4Ti50.6 %,,,,,,,,,,,49.4,,,,,,50.6,,,75.0,58.0,16.0,33.0,,,6.681094,59.0
A. Phukaoluan; A. Khantachawana; P. Kaewtathip; S. Dechkunakorn; N. Anuwongnukroh; P. Santiwong and J. Kajornchaiyakul,Applied Mechanics and Materials,Property improvement of TiNi by Cu addition for orthodontics applications,2011.0,Ni50.6Ti49.4 %,,,,,,,,,,,50.6,,,,,,49.4,,,32.0,-8.0,-31.0,5.0,,,6.733906,63.0
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,Ni48.3Ti51.7 %,,,,,,,,,,,48.3,,,,,,51.7,,,99.0,87.0,71.0,88.0,,,6.632683,28.0
H.-j. Jiang; C.-b. Ke; S.-s. Cao; X. Ma and X.-p. Zhang,Transactions of Nonferrous Metals Society of China,Phase transformation and damping behavior of lightweight porous TiNiCu alloys fabricated by powder metallurgy process,2013.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,42.0,-18.0,-17.0,21.0,,,6.7075,59.0
B. Ramachandran; R. Tang; P. Chang; Y. Kuo; C. Chien and S. Wu,Journal of Applied Physics,Cu-substitution effect on thermoelectric properties of the TiNi-based shape memory alloys,2013.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,69.0,51.0,-28.0,16.0,,,6.7075,97.0
Y.-w. Kim and E. Choi,Materials ReseVARh Bulletin,Effect of Cu addition on the martensitic transformation of powder metallurgy processed Ti–Ni alloys,2014.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,87.0,59.0,21.0,52.0,,,6.7075,66.0
M. Thomasová; H. Seiner; P. Sedlák; M. Frost; M. Ševčík; I. Szurman; R. Kocich; J. Drahokoupil; P. Šittner and M. Landa,Acta Materialia,Evolution of macroscopic elastic moduli of martensitic polycrystalline NiTi and NiTiCu shape memory alloys with pseudoplastic straining,2017.0,Ni50.5Ti49.5 %,,,,,,,,,,,50.5,,,,,,49.5,,,71.0,52.0,25.0,39.0,,,6.729505,46.0
Z. Pu; H. K. Tseng and K. Wu,International Society for Optical Engineering,Innovative system of high-temperature shape memory alloys,1994.0,Ni48.5Ti51.5 %,,,,,,,,,,,48.5,,,,,,51.5,,,20.0,10.0,-50.0,-40.0,,,6.641485,70.0
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,Ni49.0Ti51.0 %,,,,,,,,,,,49.0,,,,,,51.0,,,47.0,35.0,9.0,19.0,,,6.66349,38.0
P. Olier; J. C. Brachet; J. L. Bechade; C. Foucher and G. Guenin,Journal de Physique IV,Investigation of Transformation Temperatures Microstructure and Shape Memory Properties of NiTi; NiTiZr and NiTiHf Alloys,1995.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,100.0,80.0,45.0,70.0,,,6.7075,55.0
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,Ni48.6Ti51.4 %,,,,,,,,,,,48.6,,,,,,51.4,,,86.0,71.0,26.0,42.0,,,6.645886,60.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,Ni50.3Ti49.7 %,,,,,,,,,,,50.3,,,,,,49.7,,,65.0,50.0,64.0,60.0,,,6.720703,1.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,Ni49.0Ti51.0 %,,,,,,,,,,,49.0,,,,,,51.0,,,146.0,91.0,48.0,77.0,,,6.66349,98.0
Z. Pu; H. Tseng and K. Wu,International Society for Optical Engineering,Martensite transformation and shape memory effect of NiTi-Zr high-temperature shape memory alloys,1995.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,146.0,91.0,62.0,77.0,,,6.7075,84.0
S. Kang; H.-J. Im and T.-H. Nam,Journal of the Korean Institute of Metals and Materials(South Korea),Effect of Hf-content on phase transformation behavior and microstructures of Ti-Ni-Hf shape memory alloys,1999.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,146.0,91.0,48.0,77.0,,,6.7075,98.0
T. Umale; D. Salas; B. Tomes; R. Arroyave and I. Karaman,Scripta Materialia,The effects of wide range of compositional changes on the martensitic transformation characteristics of NiTiHf shape memory alloys,2019.0,Ni49.8Ti50.2 %,,,,,,,,,,,49.8,,,,,,50.2,,,70.0,60.0,35.0,40.0,,,6.698698,35.0
Y. Xu; S. Shimizu; Y. Suzuki; K. Otsuka; T. Ueki; K. Mitose,Acta Materialia,Recovery and Recrystallization Processes in Ti-Pd-Ni High Temperature Shape Memory Alloys,1997.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,185.0,121.0,54.0,85.0,,,6.7075,131.0
K.C. Atli; I. Karaman; R.D. Noebe; D. Gaydosh ,Materials Science and Engineering A,The effect of training on two-way shape memory effect of binary NiTi and NiTi based ternary high temperature shape memory alloys,2013.0,Ni49.9Ti50.1 %,,,,,,,,,,,49.9,,,,,,50.1,,,121.0,107.0,71.0,82.0,,,6.703099,50.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,89.0,80.0,15.0,55.0,,,6.7075,74.0
K. M. Ibrahim; N. Elbagoury and Y. Fouad,Journal of Alloys and Compounds,Microstructure and martensitic transformation of cast TiNiSi shape memory alloys,2011.0,Ni49.0Ti51.0 %,,,,,,,,,,,49.0,,,,,,51.0,,,98.0,73.0,43.0,65.0,,,6.66349,55.0
V.V. Shastry; V.D. Divya; M.A. Azeem; A. Paul; D. Dye; U. Ramamurty,Acta Materialia,Combining indentation and diffusion couple techniques for combinatorial discovery of high temperature shape memory alloys,2013.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,106.0,68.0,29.0,63.0,,,6.7075,77.0
A. Liu; X. Meng; W. Cai and L. C. Zhao,Materials Science Forum,Effect of Ce addition on martensitic transformation behavior of TiNi shape memory alloys,2005.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,16.0,-12.0,-50.0,-6.0,,,6.7075,66.0
W. Cai; A. Liu; J. Sui and L. Zhao,Materials transactions,Effects of cerium addition on martensitic transformation and microstructure of Ti49. 3Ni50. 7 alloy,2006.0,Ni50.7Ti49.3 %,,,,,,,,,,,50.7,,,,,,49.3,,,-24.0,-38.0,-66.0,-47.0,,,6.738307,42.0
B. Lin; K. Gall; H.J. Maier; R. Waldron,Acta Biomaterialia,Structure and thermomechanical behavior of NiTiPt shape memory alloy wires,2009.0,Ni51.0Ti49.0 %,,,,,,,,,,,51.0,,,,,,49.0,,,39.0,28.0,25.0,34.0,,,6.75151,14.0
A. L. Liu; N. N. Mao; J. W. Xu and W. Cai,Materials Science Forum,Investigation on Ce Addition on Microstructure and Martensitic Transformation of a Ti51Ni49 Shape Memory Alloy,2016.0,Ni49.0Ti51.0 %,,,,,,,,,,,49.0,,,,,,51.0,,,112.0,88.0,60.0,76.0,,,6.66349,52.0
A. L. Liu; Z. Y. Gao; L. Gao; W. Cai and Y. Wu,Journal of Alloys and Compounds,Effect of Dy addition on the microstructure and martensitic transformation of a Ni-rich TiNi shape memory alloy,2007.0,Ni50.7Ti49.3 %,,,,,,,,,,,50.7,,,,,,49.3,,,-24.0,-38.0,-66.0,-47.0,,,6.738307,42.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,86.0,60.0,35.0,57.0,,,6.7075,51.0
J. W. Xu; A. L. Liu; B. Y. Qian and W. Cai,Advanced Materials Research,Investigation on Microstructure and Phase Transformation of La Added Ti49. 3Ni50. 7 Shape Memory Alloy,2012.0,Ni50.7Ti49.3 %,,,,,,,,,,,50.7,,,,,,49.3,,,-24.0,-38.0,-66.0,-47.0,,,6.738307,42.0
C. Zhao; W. Li; S. Zhao; Y. Jin; X. Meng and Q. Hou,Vacuum,Effect of La addition on the microstructure and martensitic transformation of Ni-Ti-La alloys,2017.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,123.0,93.0,47.0,73.0,,,6.7075,76.0
M. Dovchinvanchig; C. Zhao; S. Zhao; X. Meng; Y. Jin and Y. Xing,Advances in Materials Science and Engineering,Effect of Nd addition on the microstructure and Martensitic transformation of Ni-Ti shape memory alloys,2014.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,106.0,80.0,57.0,77.0,,,6.7075,49.0
