Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Cu (at.%)
K. N. Lin and S. K. Wu,Journal of Alloys and Compounds,Origin of three-stage transformation in a severely cold-rolled and annealed Ti51Ni40Cu9 shape memory alloy,2008.0,10.0,10.0,40.0,Ni40.0Ti51.0Cu9.0 %,51.0,9.0
Y. Tong; Y. Liu and Z. Xie,Journal of Alloys and Compounds,Characterization of a rapidly annealed Ti50Ni25Cu25 Melt Spun ribbon,2008.0,5.0,5.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
D. Konig; M. Ehmann; S. Thienhaus and A. Ludwig,Journal of Microelectromechanical Systems,Micro-to nanostructured devices for the characterization of scaling effects in shape-memory thin films,2010.0,5.0,5.0,32.0,Ni32.0Ti52.0Cu16.0 %,52.0,16.0
Y. Tong and Y. Liu,Materials Chemistry and Physics,Effect of precipitation on two-way shape memory effect of Melt Spun Ti50Ni25Cu25 ribbon,2010.0,5.0,5.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong and Y. Liu,Materials Chemistry and Physics,Effect of precipitation on two-way shape memory effect of Melt Spun Ti50Ni25Cu25 ribbon,2010.0,5.0,5.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
S. Belyaev; N. Resnina and V. Slesarenko,Smart Materials and Structures,Mechanical and functional properties of amorphous–crystalline thin ribbons of Ti 50 Ni 25 Cu 25 and Ti 40.7 Hf 9.5 Ni 44.8 Cu 5 shape memory alloys,2011.0,10.0,10.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,36.8,Ni36.8Ti51.5Cu11.7 %,51.5,11.7
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,28.4,Ni28.400000000000006Ti48.5Cu23.1 %,48.5,23.1
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,18.1,Ni18.099999999999994Ti48.5Cu33.4 %,48.5,33.4
D. E. Soto-Parra; H. Flores-Zúñiga; E. L. Cuéllar; R. A. Ochoa-Gamboa and D. Ríos-Jara,Materials ReseVARh,Recrystallization of a Ti-45Ni-5Cu cold-worked shape memory alloy characterized by thermoelectric power and electrical properties,2014.0,10.0,10.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
Y. Liu; Z. L. Xie; Y. X. Tong and C. W. Lim,Journal of Alloys and Compounds,Properties of rapidly annealed Ti50Ni25Cu25 Melt Spun ribbon,2006.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
Y. Tong and Y. Liu,Journal of Alloys and Compounds,Crystallization behavior of a Ti50Ni25Cu25 Melt Spun ribbon,2008.0,5.0,5.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong and Y. Liu,Journal of Alloys and Compounds,Crystallization behavior of a Ti50Ni25Cu25 Melt Spun ribbon,2008.0,5.0,5.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Terayama and H. Kyogoku,Materials Science and Engineering: A,Shape memory characteristics of the P/M-processed Ti–Ni–Cu alloys,2010.0,10.0,10.0,40.2,Ni40.2Ti49.8Cu10.0 %,49.8,10.0
S. Belyaev; N. Resnina and V. Slesarenko,Smart Materials and Structures,Mechanical and functional properties of amorphous–crystalline thin ribbons of Ti 50 Ni 25 Cu 25 and Ti 40.7 Hf 9.5 Ni 44.8 Cu 5 shape memory alloys,2011.0,10.0,10.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
T. Goryczka,Shape Memory Alloys-Processing; Characterization and Applications,Ni25Ti50Cu25 shape memory alloy produced by nonconventional techniques,2013.0,10.0,10.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,23.1,Ni23.099999999999994Ti53.5Cu23.4 %,53.5,23.4
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,23.8,Ni23.799999999999997Ti48.5Cu27.7 %,48.5,27.7
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,18.1,Ni18.099999999999994Ti48.5Cu33.4 %,48.5,33.4
T. H. Nam; T. Saburi and K. i. Shimizu,Materials Transactions,Effect of thermo-mechanical treatment on shape memory characteristics in a Ti-40Ni-10Cu (at%) alloy,1991.0,1.5,1.5,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,10.0,10.0,39.8,Ni39.8Ti50.2Cu10.0 %,50.2,10.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,10.0,10.0,37.8,Ni37.8Ti50.2Cu12.0 %,50.2,12.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,10.0,10.0,37.8,Ni37.8Ti50.2Cu12.0 %,50.2,12.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,10.0,10.0,37.8,Ni37.8Ti50.2Cu12.0 %,50.2,12.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.4,Ni41.4Ti50.6Cu8.0 %,50.6,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.4,Ni41.4Ti50.6Cu8.0 %,50.6,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.4,Ni41.4Ti50.6Cu8.0 %,50.6,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.2,Ni41.2Ti50.8Cu8.0 %,50.8,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,5.0,5.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
J. Morgiel; E. Cesari; J. Pons; A. Pasko and J. Dutkiewicz,Journal of Materials Science,Microstructure and martensite transformation in aged Ti-25Ni-25Cu shape memory melt spun ribbons,2002.0,20.0,20.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,44.9,Ni44.9Ti48.9Cu6.2 %,48.9,6.2
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
K. N. Lin and S. K. Wu,Journal of Alloys and Compounds,Origin of three-stage transformation in a severely cold-rolled and annealed Ti51Ni40Cu9 shape memory alloy,2008.0,10.0,10.0,40.0,Ni40.0Ti51.0Cu9.0 %,51.0,9.0
Y. Tong and Y. Liu,Journal of Alloys and Compounds,Crystallization behavior of a Ti50Ni25Cu25 Melt Spun ribbon,2008.0,5.0,5.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong and Y. Liu,Journal of Alloys and Compounds,Crystallization behavior of a Ti50Ni25Cu25 Melt Spun ribbon,2008.0,5.0,5.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong; Y. Liu and Z. Xie,Journal of Alloys and Compounds,Characterization of a rapidly annealed Ti50Ni25Cu25 Melt Spun ribbon,2008.0,5.0,5.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
K. Hori; T. Namazu and S. Inoue,Thin Solid Films,Effect of Cu content on the shape memory behavior of Ti–Ni–Cu alloy thin films prepared by triple-source dc magnetron sputtering,2010.0,5.0,5.0,32.9,Ni32.9Ti48.1Cu19.0 %,48.1,19.0
A. Terayama and H. Kyogoku,Materials Science and Engineering: A,Shape memory characteristics of the P/M-processed Ti–Ni–Cu alloys,2010.0,10.0,10.0,45.2,Ni45.2Ti49.8Cu5.0 %,49.8,5.0
A. Nespoli; E. Villa and S. Besseghini,Journal of Alloys and Compounds,Characterization of the martensitic transformation in Ni50−xTi50Cux alloys through pure thermal measurements,2011.0,5.0,5.0,46.0,Ni46.0Ti50.0Cu4.0 %,50.0,4.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,10.0,10.0,44.25,Ni44.25Ti50.75Cu5.0 %,50.75,5.0
K. Tsuji and K. Nomura,Scripta Metallurgica et Materialia,The influence of cold working on transformation properties of NiTiCu alloys,1990.0,10.0,10.0,40.5,Ni40.5Ti50.5Cu9.0 %,50.5,9.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,10.0,10.0,39.8,Ni39.8Ti50.2Cu10.0 %,50.2,10.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.6,Ni41.6Ti50.4Cu8.0 %,50.4,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.6,Ni41.6Ti50.4Cu8.0 %,50.4,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.4,Ni41.4Ti50.6Cu8.0 %,50.6,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.4,Ni41.4Ti50.6Cu8.0 %,50.6,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.2,Ni41.2Ti50.8Cu8.0 %,50.8,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.2,Ni41.2Ti50.8Cu8.0 %,50.8,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.2,Ni41.2Ti50.8Cu8.0 %,50.8,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.2,Ni41.2Ti50.8Cu8.0 %,50.8,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka; A. Oppenkowski; C. Somsen; K. Neuking; W. Theisen and G. Eggeler,Materialwissenschaft und Werkstofftechnik,Processing and property assessment of NiTi and NiTiCu shape memory actuator springs,2008.0,10.0,10.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Tong and Y. Liu,Journal of Alloys and Compounds,Crystallization behavior of a Ti50Ni25Cu25 Melt Spun ribbon,2008.0,5.0,5.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Nespoli; E. Villa and S. Besseghini,Journal of Alloys and Compounds,Characterization of the martensitic transformation in Ni50−xTi50Cux alloys through pure thermal measurements,2011.0,5.0,5.0,47.0,Ni47.0Ti50.0Cu3.0 %,50.0,3.0
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,20.9,Ni20.900000000000006Ti51.5Cu27.6 %,51.5,27.6
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,10.0,10.0,44.5,Ni44.5Ti50.5Cu5.0 %,50.5,5.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,10.0,10.0,44.0,Ni44.0Ti51.0Cu5.0 %,51.0,5.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,10.0,10.0,43.5,Ni43.5Ti51.5Cu5.0 %,51.5,5.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,10.0,10.0,42.8,Ni42.8Ti50.2Cu7.0 %,50.2,7.0
K. Tsuji and K. Nomura,Journal of Materials Science,Effects of Ni-Ti-Cu alloy composition and heat treatment temperature after cold working on phase transformation characteristics,1992.0,10.0,10.0,41.3,Ni41.3Ti49.5Cu9.2 %,49.5,9.2
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.6,Ni41.6Ti50.4Cu8.0 %,50.4,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.6,Ni41.6Ti50.4Cu8.0 %,50.4,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.6,Ni41.6Ti50.4Cu8.0 %,50.4,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.4,Ni41.4Ti50.6Cu8.0 %,50.6,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.4,Ni41.4Ti50.6Cu8.0 %,50.6,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.2,Ni41.2Ti50.8Cu8.0 %,50.8,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
T. Goryczka; M. Karolus; P. Ochin and H. Morawiec,Journal de Physique IV,Structure of melt spun Ni25Ti50Cu25 ribbons studied by X-ray diffraction,2001.0,10.0,10.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
J. Uchil; K. K. Mahesh and K. Ganesh Kumara,Journal of Materials Science,Dilatometric study of martensitic transformation in NiTiCu and NiTi shape memory alloys,2001.0,2.0,2.0,44.56,Ni44.56Ti50.38Cu5.06 %,50.38,5.06
J. Uchil; K. K. Mahesh and K. Ganesh Kumara,Journal of Materials Science,Dilatometric study of martensitic transformation in NiTiCu and NiTi shape memory alloys,2001.0,2.0,2.0,44.56,Ni44.56Ti50.38Cu5.06 %,50.38,5.06
G. P. Cheng and Z. L. Xie,Journal of Alloys and Compounds,Some results on shape memory properties of Ti50Ni25Cu25 Melt Spun ribbons,2005.0,10.0,10.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y.-H. Li; L.-J. Rong; Z.-T. Wang; G.-X. Qi and C.-Z. Wang,Journal of Alloys and Compounds,Temperature memory effect of Ti50Ni30Cu20 (at.%) alloy,2005.0,10.0,10.0,30.0,Ni30.0Ti50.0Cu20.0 %,50.0,20.0
Y.-W. Kim; S.-H. Lee and T.-H. Nam,Physica Scripta,Microstructure modifications of Ti–Ni–Cu shape memory alloy strips fabricated by VAR melt overflow process,2007.0,10.0,10.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,40.0,Ni40.0Ti48.5Cu11.5 %,48.5,11.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,40.0,Ni40.0Ti48.5Cu11.5 %,48.5,11.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
C. Grossmann; J. Frenzel; V. Sampath; T. Depka and G. Eggeler,Metallurgical and Materials Transactions A,Elementary Transformation and Deformation Processes and the Cyclic Stability of NiTi and NiTiCu Shape Memory Spring Actuators,2009.0,10.0,10.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
Z. Y. Gao; M. Sato and A. Ishida,Journal of Alloys and Compounds,Formation of B19′ martensite in annealed Ti44.6Ni40.1Cu15.3 thin films and their shape recovery characteristic,2010.0,10.0,10.0,40.1,Ni40.1Ti44.6Cu15.3 %,44.6,15.3
A. Nespoli; E. Villa and S. Besseghini,Journal of Alloys and Compounds,Characterization of the martensitic transformation in Ni50−xTi50Cux alloys through pure thermal measurements,2011.0,5.0,5.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,33.0,Ni33.0Ti51.5Cu15.5 %,51.5,15.5
T. H. Nam; T. Saburi and K. i. Shimizu,Materials Transactions,Cu-Content Dependence of Shape Memory Characteristics in Ti-Ni-Cu Alloys,1990.0,1.5,1.5,30.0,Ni30.0Ti50.0Cu20.0 %,50.0,20.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,10.0,10.0,42.8,Ni42.8Ti50.2Cu7.0 %,50.2,7.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,10.0,10.0,37.8,Ni37.8Ti50.2Cu12.0 %,50.2,12.0
T. Fukuda; T. Kakeshita; M. Kitayama and T. Saburi,Journal de Physique IV,Effect of aging on martensitic transformation in a shape memory Ti-40.5 Ni-10Cu alloy,1995.0,10.0,10.0,40.5,Ni40.5Ti49.5Cu10.0 %,49.5,10.0
T. Fukuda; T. Kakeshita; M. Kitayama and T. Saburi,Journal de Physique IV,Effect of aging on martensitic transformation in a shape memory Ti-40.5 Ni-10Cu alloy,1995.0,10.0,10.0,40.5,Ni40.5Ti49.5Cu10.0 %,49.5,10.0
S. M. Tan; S. Miyazaki; T. Ueki and H. Horikawa,Materials Science and Engineering: A,Ti-content and annealing temperature dependence of transformation behavior of TiXNi92-XCu8 shape memory alloys,1997.0,10.0,10.0,41.6,Ni41.6Ti50.4Cu8.0 %,50.4,8.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,5.0,5.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
G.-b. Cho; C.-a. Yu; J.-h. Lee; Y.-w. Kim and T.-h. Nam,Scripta Materialia,Lattice deformation and shape memory characteristics of Ti–30Ni–20Cu(at.%) alloy ribbons,2006.0,1.0,1.0,30.0,Ni30.0Ti50.0Cu20.0 %,50.0,20.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y.-w. Kim; H.-j. Kim and T.-h. Nam,Journal of Alloys and Compounds,Effect of annealing conditions on microstructures and shape memory characteristics of Ti50–Ni30–Cu20 alloy ribbons,2008.0,10.0,10.0,30.0,Ni30.0Ti50.0Cu20.0 %,50.0,20.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka and G. Eggeler,Metallurgical and Materials Transactions A,Elementary Transformation and Deformation Processes and the Cyclic Stability of NiTi and NiTiCu Shape Memory Spring Actuators,2009.0,10.0,10.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka and G. Eggeler,Metallurgical and Materials Transactions A,Elementary Transformation and Deformation Processes and the Cyclic Stability of NiTi and NiTiCu Shape Memory Spring Actuators,2009.0,10.0,10.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka and G. Eggeler,Metallurgical and Materials Transactions A,Elementary Transformation and Deformation Processes and the Cyclic Stability of NiTi and NiTiCu Shape Memory Spring Actuators,2009.0,10.0,10.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
S.-w. Kang; Y.-M. Lim; Y.-h. Lee; H.-j. Moon; Y.-w. Kim and T.-h. Nam,Scripta Materialia,Microstructures and shape memory characteristics of a Ti–20Ni–30Cu (at.%) alloy strip fabricated by the melt overflow process,2010.0,10.2,10.2,20.0,Ni20.0Ti50.0Cu30.0 %,50.0,30.0
A. Nespoli; E. Villa and S. Besseghini,Journal of Alloys and Compounds,Characterization of the martensitic transformation in Ni50−xTi50Cux alloys through pure thermal measurements,2011.0,5.0,5.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,38.5,Ni38.5Ti50.0Cu11.5 %,50.0,11.5
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,10.0,10.0,21.4,Ni21.400000000000006Ti55.0Cu23.6 %,55.0,23.6
